scenario,year,B,C,I,T,seg,clusters,sense,slack,horizon,h2prod,imports,system_cost,obj_bound_dual,h2price,h2value,co2seq,dac,captured_co2,elec_cap,elec_cf,total_onwind,total_offwind,total_solar,total_nuclear,total_h2_storage,demand:H2 for industry,demand:land transport fuel cell,demand:Fischer-Tropsch,demand:H2 Fuel Cell,demand:Haber-Bosch,demand:Sabatier,demand:hydrogen for highT industry,demand:hydrogen for mediumT industry,demand:methanolisation
1987baab,1987,b,a,a,b,500,60,max,0.05,2050,54.502368140651086,294.9974607465931,944115304148.3773,-33.619811947179535,2.086517767848067,3586513730.190813,270585919.99698246,53209636.70061235,529.2900084675342,457396.83818720846,0.697313200352468,986210.9173862308,559653.5020779405,2437859.634562853,31807.900028780736,8414681.215787642,178222047.78112,6082464.29109,79300000.0,304105444.0116,1252920489.5449,0.0,0.0,0.0,0.0
1987bcab,1987,b,c,a,b,500,60,min,0.05,2025,-0.0,3.872158501901276e-11,981383721454.9174,,58.63944983646946,-0.0,0.0,0.3599872592871368,7.1547806179307125,0.0,,378438.03245377744,49027.221984869655,415297.3449286858,99790.1000735682,0.10566748248585729,98096328.65147,32831214.49498,0.0,0.0,0.0,0.0,0.0,1106770.27711,0.0
1987bcab,1987,b,c,a,b,500,60,max,0.05,2025,10.929975510244436,1.8558743455043718e-07,1018185612655.8616,-15.25098703411424,0.6551851751564118,228783860.6328557,-13.227798067329802,0.33569267081656706,30.9592580729001,70852.45689606847,0.9992209698092309,435256.3627830007,86825.57250837071,442977.33809919725,99790.10009022724,0.1228437859276028,98096329.23483,32831214.65373,0.0,0.0,115880349.93177,0.0,0.0,125808189.71589,0.0
1987bcab,1987,b,c,a,b,500,60,min,0.05,2030,-0.0,6.779791202094808e-11,935344023408.5361,,79.43459443456773,-0.0,100000000.00010604,0.39613334749566625,107.15478076583526,0.0,,526449.3770243917,146933.5184912843,758553.2818869967,76584.00012805883,7606.724525632467,98096328.64837,32831214.48336,80000.0,6757898.75581,0.0,0.0,0.0,0.0,0.0
1987bcab,1987,b,c,a,b,500,60,max,0.05,2030,12.01333587007678,8.656750774058583e-07,973971188589.471,-18.60856717967763,1.0438436737294694,401416482.2069643,99999999.97827724,0.1570348089955254,152.6120191010598,83476.9229173882,0.9234196230434688,558083.5750181861,217592.98006444133,769146.4447917332,76584.00006128824,61185.650789043226,98096328.30577,32831214.48692,80000.0,6757898.75581,221286132.53479,0.0,0.0,41352910.72551,0.0
1987bcab,1987,b,c,a,b,500,60,min,0.05,2035,-0.0,1.5404587126712963e-10,904558058068.3599,,151.52936807439707,-0.0,300000000.00016475,1.2971021241812628,307.1547804489596,0.0,,675461.5401730209,295643.5988978017,1155670.9515894584,40121.30017912929,138497.67954738915,137951446.83154,32831214.39585,19450000.0,65889512.86918,0.0,0.0,0.0,0.0,0.0
1987bcab,1987,b,c,a,b,500,60,max,0.05,2035,20.23101878966712,2.2526968339164243e-06,937667532940.3215,-21.344203397675276,1.441090453258882,879625823.780136,299999999.9823215,0.48307358495837877,388.3167144829095,168209.60735070624,0.7401976209078102,694513.2957792581,399636.03949586186,1150950.9314936465,40121.30011403865,2422214.6769298473,137951446.41806,32831214.45248,19450000.0,65889512.86918,395096819.49859,0.0,0.0,23080866.35605,0.0
1987bcab,1987,b,c,a,b,500,60,min,0.05,2040,2.2000392716064643,73.32730857418515,962784479628.0985,-3.675983162325621,0.9596295444605658,69852349.22612384,499999999.9887283,69770284.0786962,500.1452099410413,20184.462654974926,0.6348896868027325,907067.5480938248,369783.1503197198,1778355.1432887027,31807.900072483044,184322.95803455892,173307725.3318,666199.13493,39880000.0,123331652.29359,0.0,0.0,0.0,0.0,0.0
1987bcab,1987,b,c,a,b,500,60,max,0.05,2040,37.054565498151206,117.12140786416172,965857614674.6544,-25.087817123443585,1.7691070927046733,2044595822.9813154,499999999.9597721,121556143.92248845,694.9847018160549,296675.73278871196,0.7478440282701012,814826.0910530235,482011.5087444957,2015472.7528562546,31807.90008990309,4527361.283154961,123014580.75349,32831214.28817,39880000.0,123331652.29359,914357268.59174,0.0,0.0,1613954.65511,0.0
1987bcab,1987,b,c,a,b,500,60,min,0.05,2045,2.2469841709706944,1.09431291861694e-05,861675472526.2798,,64.18553009087164,4665843825.630764,675927384.0612216,98312369.60331774,676.016935125403,20184.45714127111,0.6484372732180463,857422.4561226091,361730.45000617614,1776285.509833533,31807.900164329763,303103.5641870924,377082151.68188,410919.72083,64210000.0,214563285.49707,0.0,0.0,0.0,0.0,0.0
